unique_id,population,number_of_miners,avg_probability,gold_stats,resource_stats,economic_opportunity,resources,trades
258,7,6,0.27523052924021424,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[22.29690109  4.17118835  7.66893961  5.32446443  5.96274465  7.71889042
  6.3511585 ]",8.917843260341606,11.0948395444072,0
259,12,6,0.2142210510809439,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[29.62304164 16.67123606  6.48923523  5.99097056 13.0744933  21.12079698
 14.6771112  15.16332618  7.03356845 10.38724215  5.66117952  4.43284592]",11.795478679386367,5.312409579084434,0
260,13,7,0.24198610834518833,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[13.95059554 17.59266083 15.88693269 13.535896    5.2615121   9.46489405
  7.20764699  7.14792719  6.76114963  7.51450227 14.38485845  6.30610281
  7.36479085]",9.670458127547393,10.158347564417884,0
261,16,10,0.31295339070233946,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[ 9.73701025  7.80903067  7.98836557  6.94580246  7.86112071  5.82001452
 19.63163361  4.59647515  3.         10.45208616  7.82799352  6.91457088]",7.59171725600458,5.031681203759376,0
262,6,2,0.22032931254265195,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[13.68337762 18.60227964 10.49304062  7.00280336  5.0662015   7.26983523],10.061674641987628,7.047149663775583,0
263,26,5,0.0,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[ 7.12482321  7.5226239   8.46566195  4.20900482  8.03838044  3.50329
  8.76639812  5.28829295  6.52770977  9.43572911  5.47867898  7.43512332
  7.62344452  7.1924963   9.98824128  6.29431656  5.35350075  7.72893642
 12.7199899   5.30418427  7.46745445 11.08794228 12.46476845 12.50585944
 12.96999055  8.33243733]",21.439983192379945,7.80351809948762,16
264,11,9,0.2349172876623005,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[21.29662073 10.32210989  5.4771842   7.91815728  5.45885422 13.41164667
 14.00950208 13.7088745  11.20002047  9.56836438  9.54869086]",10.770005340298395,8.513402097630955,0
265,10,5,0.19327007861814247,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[12.62237454 26.88050405 17.9763529  10.80442615  7.72328537 16.31988031
  7.60738261  5.81015634  7.40986195  4.57670241]",11.40592892038975,6.080358779462015,0
266,7,0,0.19173992144902685,"[['gold']
 ['gold']
 ['gold']]",[18.39787932 18.1962944   3.95873666],13.402256864367097,6.835268648577802,0
267,7,5,0.23924105292905856,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[21.97935175  8.76322086  6.12325364  8.06412771  9.09338676  7.02045296
 11.0610023 ]",10.551471923416832,10.722091893606233,0
268,4,2,0.32551070937101734,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[26.8363653   3.          4.37523325  6.48294604],10.681220233125877,5.945465459452308,0
269,8,5,0.21948030019751583,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[35.62193303 17.80327642 11.26586037  6.22284758  8.3573652  17.57618739
 10.90057748  6.15367783]",13.471952708541725,10.564505047738116,0
270,27,9,0.28966489452775135,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[27.93908308 21.71157031  9.51834508 12.47254657 14.44505053 15.15327294
  4.5147683   3.         14.59948763 11.89142172 22.84604777 12.72095721
 12.87552032 10.38291487  7.104242    5.82380547  9.8474153   8.28305641
 10.89094435  6.92424697  3.59937698 14.99433131 11.25617423 20.41702504]",11.431036557176768,10.332324739404534,0
271,4,0,0.07844283667724469,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[22.66081696 20.89389879 15.24332846  4.70750078],14.817683044471996,7.992056261183498,0
272,13,10,0.24646851132063377,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[22.85895732  8.07954931  9.18897696  6.94944711  5.75432693  5.15527672
  5.86921001  5.64288008 16.98409542  5.48294852 24.30896042 15.37398458
  5.77372046]",10.604825161423207,6.264577515901456,1
273,6,1,0.15602777576268453,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[28.62310747 20.79709995 18.62056261  5.121658    8.05535195 10.8943307 ],14.949147488390413,9.571095962634809,0
274,5,5,0.2796961306029891,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[ 9.83589163 10.92734394  5.27110483  8.07020438 12.51299149],8.937593648236051,7.0423233023487715,0
275,3,2,0.5728202453162782,"[['gold']
 ['gold']
 ['gold']]",[6.06839792 6.38839206 6.2086702 ],8.69220639575859,5.569911621226768,0
276,7,5,0.23676639388142773,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[20.52825109  6.84794972  6.8495945  11.38515796  5.554496    7.1427276
 13.20047142]",10.287015347496581,10.902205436619067,0
277,6,0,0.10341661449980051,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[24.52086672 13.85626682  6.69305186  8.10066098 10.23440577  7.40176499],12.033683745681454,11.187433515369946,0
278,7,3,0.2500009591564861,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[19.4687432  29.31312977  8.87617565  9.78248675 17.47863719  7.07619256
  3.        ]",13.181360550576173,6.211009906932738,0
279,3,0,0.17443811028451592,"[['gold']
 ['gold']
 ['gold']]",[18.18927949  7.74144705  8.33855816],11.484527206926053,5.909073281035598,0
280,13,3,0.16190713873832108,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[16.76010102 19.74655972  8.96984253 15.17732945 13.72648621  5.44841636
 10.11697583  4.57881592  5.81688697 25.70491189 18.25359345  7.629314
 24.79619008]",12.861489787522439,10.610060311712266,0
281,6,4,0.21482726771494595,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[10.68017919 15.68941543 11.33714581  3.          5.08104109  7.29963715],8.889033071496621,9.375874403548913,0
282,16,7,0.2484765243060418,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[29.38362139 14.77255651  7.4236432   7.37380988  9.30325898 14.3872241
  8.09978608  8.89446731  5.04592336  7.67662495 13.57379465 29.41843827
  3.71169785 12.46790844]",11.594169968500584,6.19799451396292,0
283,6,3,0.15882357291569282,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[16.81523695 15.74748701 12.74697944 10.8891447   3.         12.03238798],12.155822253354867,9.006025021639976,0
284,19,12,0.19433041520600158,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[26.703272   11.56353883  6.61224613  6.74518904 14.84851868  9.4692722
  3.          9.30947311 20.88638173  9.11994383  4.60185445  9.28705164
 12.48330784  6.86686807  6.76918803 17.23746854]",10.248437298171453,9.01150966096027,0
